timestamp_utc,city,temp,humidity,description
2026-07-01T05:24:50.206425+00:00,Berlin,19.52,84,overcast clouds
2026-07-01T05:24:50.206425+00:00,London,16.75,83,clear sky
2026-07-01T09:56:19.788422+00:00,Istanbul,31.63,100,clear sky
2026-07-01T09:56:19.788422+00:00,Ankara,29.0,29,clear sky
2026-07-01T09:56:19.788422+00:00,İzmir,33.51,34,scattered clouds
2026-07-01T09:56:19.788422+00:00,Berlin,21.34,74,overcast clouds
2026-07-01T09:56:19.788422+00:00,London,21.65,61,clear sky
2026-07-01T12:38:21.806143+00:00,Istanbul,31.7,86,clear sky
2026-07-01T12:38:21.806143+00:00,Ankara,31.23,26,clear sky
2026-07-01T12:38:21.806143+00:00,İzmir,35.73,24,clear sky
2026-07-01T12:38:21.806143+00:00,Berlin,25.53,44,overcast clouds
2026-07-01T12:38:21.806143+00:00,London,24.15,50,scattered clouds
2026-07-01T15:45:42.428628+00:00,Istanbul,29.82,69,few clouds
2026-07-01T15:45:42.428628+00:00,Ankara,31.23,26,clear sky
2026-07-01T15:45:42.428628+00:00,İzmir,35.73,28,clear sky
2026-07-01T15:45:42.428628+00:00,Berlin,24.98,49,overcast clouds
2026-07-01T15:45:42.428628+00:00,London,25.84,46,broken clouds
2026-07-01T18:01:08.782528+00:00,Istanbul,26.75,77,few clouds
2026-07-01T18:01:08.782528+00:00,Ankara,26.25,34,clear sky
2026-07-01T18:01:08.782528+00:00,İzmir,29.62,52,clear sky
2026-07-01T18:01:08.782528+00:00,Berlin,20.48,84,moderate rain
2026-07-01T18:01:08.782528+00:00,London,26.06,44,broken clouds
2026-07-01T20:48:39.828484+00:00,Istanbul,25.2,100,scattered clouds
2026-07-01T20:48:39.828484+00:00,Ankara,20.69,46,clear sky
2026-07-01T20:48:39.828484+00:00,İzmir,26.29,66,clear sky
2026-07-01T20:48:39.828484+00:00,Berlin,18.32,85,overcast clouds
2026-07-01T20:48:39.828484+00:00,London,22.35,57,overcast clouds
2026-07-01T22:20:41.698208+00:00,Istanbul,25.2,100,broken clouds
2026-07-01T22:20:41.698208+00:00,Ankara,22.89,45,clear sky
2026-07-01T22:20:41.698208+00:00,İzmir,22.4,74,clear sky
2026-07-01T22:20:41.698208+00:00,Berlin,16.05,93,overcast clouds
